lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.0155	0.0000	0.1936	0.5948	0.3255	0.1491
7.1000	0.0149	0.0000	0.1834	0.5628	0.3260	0.1447
7.2000	0.0143	0.0000	0.1736	0.5357	0.3240	0.1404
7.3000	0.0136	0.0000	0.1642	0.5085	0.3229	0.1363
7.4000	0.0130	0.0000	0.1549	0.4804	0.3225	0.1324
7.5000	0.0124	0.0000	0.1460	0.4565	0.3199	0.1287
7.6000	0.0118	0.0000	0.1377	0.4327	0.3181	0.1251
7.7000	0.0112	0.0000	0.1293	0.4059	0.3186	0.1217
7.8000	0.0106	0.0000	0.1211	0.3862	0.3135	0.1183
7.9000	0.0100	0.0000	0.1133	0.3693	0.3069	0.1151
8.0000	0.0095	0.0000	0.1061	0.3547	0.2992	0.1121
8.1000	0.0089	0.0000	0.0994	0.3418	0.2907	0.1091
8.2000	0.0084	0.0000	0.0931	0.3304	0.2818	0.1063
8.3000	0.0079	0.0000	0.0872	0.3200	0.2724	0.1036
8.4000	0.0075	0.0000	0.0816	0.3102	0.2630	0.1010
8.5000	0.0071	0.0000	0.0763	0.3009	0.2535	0.0985
8.6000	0.0066	0.0000	0.0712	0.2922	0.2437	0.0960
8.7000	0.0062	0.0000	0.0665	0.2841	0.2340	0.0937
8.8000	0.0058	0.0000	0.0618	0.2769	0.2233	0.0914
8.9000	0.0055	0.0000	0.0575	0.2701	0.2129	0.0892
9.0000	0.0051	0.0000	0.0533	0.2645	0.2016	0.0870
9.1000	0.0047	0.0000	0.0493	0.2595	0.1901	0.0850
9.2000	0.0044	0.0000	0.0455	0.2560	0.1776	0.0829
9.3000	0.0040	0.0000	0.0418	0.2535	0.1647	0.0810
9.4000	0.0037	0.0000	0.0382	0.2524	0.1512	0.0791
9.5000	0.0034	0.0000	0.0349	0.2516	0.1385	0.0772
9.6000	0.0031	0.0000	0.0315	0.2532	0.1243	0.0754
9.7000	0.0028	0.0000	0.0283	0.2557	0.1105	0.0737
9.8000	0.0025	0.0000	0.0253	0.2584	0.0981	0.0719
9.9000	0.0022	0.0000	0.0221	0.2675	0.0828	0.0702
10.0000	0.0019	0.0000	0.0193	0.2769	0.0695	0.0686
10.1000	0.0017	0.0000	0.0166	0.3088	0.0538	0.0669
10.2000	0.0014	0.0000	0.0143	0.3404	0.0421	0.0653
10.3000	0.0013	0.0000	0.0124	0.3826	0.0324	0.0638
10.4000	0.0011	0.0000	0.0108	0.4349	0.0249	0.0623
10.5000	0.0010	0.0000	0.0100	0.5129	0.0195	0.0608
10.6000	0.0011	0.0000	0.0102	0.6148	0.0167	0.0594
10.7000	0.0012	0.0000	0.0120	0.7444	0.0161	0.0581
10.8000	0.0015	0.0000	0.0149	0.8839	0.0169	0.0569
10.9000	0.0019	0.0000	0.0187	1.0244	0.0183	0.0558
11.0000	0.0025	0.0000	0.0237	1.1751	0.0202	0.0547
11.1000	0.0030	0.0000	0.0288	1.2999	0.0221	0.0538
11.2000	0.0035	0.0000	0.0336	1.4015	0.0239	0.0530
11.3000	0.0040	0.0000	0.0385	1.4981	0.0257	0.0523
11.4000	0.0045	0.0000	0.0428	1.5725	0.0272	0.0515
11.5000	0.0048	0.0000	0.0460	1.6155	0.0285	0.0509
11.6000	0.0052	0.0000	0.0493	1.6562	0.0298	0.0502
11.7000	0.0055	0.0000	0.0522	1.6854	0.0310	0.0497
11.8000	0.0058	0.0000	0.0549	1.7086	0.0322	0.0491
11.9000	0.0061	0.0000	0.0577	1.7299	0.0333	0.0485
12.0000	0.0062	0.0000	0.0591	1.7207	0.0343	0.0481
12.1000	0.0064	0.0000	0.0605	1.7106	0.0354	0.0476
12.2000	0.0066	0.0000	0.0619	1.6997	0.0364	0.0472
12.3000	0.0066	0.0000	0.0624	1.6714	0.0374	0.0468
12.4000	0.0067	0.0000	0.0630	1.6431	0.0383	0.0464
12.5000	0.0068	0.0000	0.0636	1.6149	0.0394	0.0461
12.6000	0.0067	0.0000	0.0629	1.5663	0.0402	0.0457
12.7000	0.0067	0.0000	0.0624	1.5187	0.0411	0.0454
12.8000	0.0066	0.0000	0.0619	1.4721	0.0420	0.0451
12.9000	0.0065	0.0000	0.0609	1.4212	0.0429	0.0447
13.0000	0.0064	0.0000	0.0600	1.3701	0.0438	0.0444
13.1000	0.0063	0.0000	0.0589	1.3192	0.0446	0.0441
13.2000	0.0062	0.0000	0.0576	1.2662	0.0455	0.0437
13.3000	0.0060	0.0000	0.0561	1.2094	0.0464	0.0433
13.4000	0.0059	0.0000	0.0545	1.1577	0.0471	0.0429
13.5000	0.0057	0.0000	0.0530	1.1087	0.0478	0.0425
13.6000	0.0056	0.0000	0.0515	1.0613	0.0486	0.0421
13.7000	0.0054	0.0000	0.0501	1.0150	0.0494	0.0417
13.8000	0.0053	0.0000	0.0486	0.9687	0.0502	0.0413
13.9000	0.0051	0.0000	0.0472	0.9231	0.0512	0.0408
14.0000	0.0049	0.0000	0.0457	0.8763	0.0521	0.0404
14.1000	0.0048	0.0000	0.0442	0.8307	0.0532	0.0400
14.2000	0.0046	0.0000	0.0426	0.7870	0.0542	0.0395
14.3000	0.0045	0.0000	0.0411	0.7445	0.0553	0.0390
14.4000	0.0043	0.0000	0.0394	0.7050	0.0559	0.0385
14.5000	0.0041	0.0000	0.0378	0.6662	0.0567	0.0380
14.6000	0.0040	0.0000	0.0363	0.6280	0.0578	0.0375
14.7000	0.0038	0.0000	0.0348	0.5904	0.0590	0.0370
14.8000	0.0036	0.0000	0.0334	0.5631	0.0593	0.0365
14.9000	0.0035	0.0000	0.0320	0.5373	0.0595	0.0360
