lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.00000000e+00	7.30473404e-03	0.00000000e+00	5.69787998e+00	9.42824500e+00	6.04341527e-01	6.21671353e-01
7.10000000e+00	1.03261379e-02	0.00000000e+00	5.49661637e+00	9.02771942e+00	6.08859903e-01	6.10447963e-01
7.20000000e+00	1.40605303e-02	0.00000000e+00	5.29085354e+00	8.66086454e+00	6.10892078e-01	5.98694299e-01
7.30000000e+00	1.84425387e-02	0.00000000e+00	5.09255723e+00	8.29551768e+00	6.13892637e-01	5.86427798e-01
7.40000000e+00	2.33203109e-02	0.00000000e+00	4.89211751e+00	7.91854065e+00	6.17805442e-01	5.73636981e-01
7.50000000e+00	2.83958135e-02	0.00000000e+00	4.69142678e+00	7.57425408e+00	6.19391260e-01	5.60593911e-01
7.60000000e+00	3.36301758e-02	0.00000000e+00	4.49994078e+00	7.23682117e+00	6.21811797e-01	5.47338729e-01
7.70000000e+00	3.89450014e-02	0.00000000e+00	4.30573400e+00	6.86846049e+00	6.26884875e-01	5.33715055e-01
7.80000000e+00	4.38386432e-02	0.00000000e+00	4.09826682e+00	6.54854385e+00	6.25828720e-01	5.20109579e-01
7.90000000e+00	4.84004823e-02	0.00000000e+00	3.89964626e+00	6.25931297e+00	6.23015063e-01	5.06660277e-01
8.00000000e+00	4.45798885e-02	0.00000000e+00	3.12335222e+00	5.22868070e+00	5.97349963e-01	4.91759793e-01
8.10000000e+00	5.63417115e-02	0.00000000e+00	3.52742962e+00	5.74954065e+00	6.13515033e-01	4.80411003e-01
8.20000000e+00	5.96801779e-02	0.00000000e+00	3.35467100e+00	5.52360464e+00	6.07333656e-01	4.67708077e-01
8.30000000e+00	6.25492032e-02	0.00000000e+00	3.18754306e+00	5.31034868e+00	6.00251180e-01	4.55288068e-01
8.40000000e+00	6.49622314e-02	0.00000000e+00	3.02665603e+00	5.10559625e+00	5.92811473e-01	4.43165215e-01
8.50000000e+00	6.68984453e-02	0.00000000e+00	2.87070192e+00	4.90835077e+00	5.84860792e-01	4.31348870e-01
8.60000000e+00	6.82998073e-02	0.00000000e+00	2.71663436e+00	4.71652173e+00	5.75982581e-01	4.19822783e-01
8.70000000e+00	6.92846971e-02	0.00000000e+00	2.56983473e+00	4.53368529e+00	5.66831300e-01	4.08657420e-01
8.80000000e+00	6.96339209e-02	0.00000000e+00	2.42040316e+00	4.35614688e+00	5.55629372e-01	3.97765302e-01
8.90000000e+00	6.96156834e-02	0.00000000e+00	2.27876757e+00	4.18749360e+00	5.44184131e-01	3.87247133e-01
9.00000000e+00	6.90403165e-02	0.00000000e+00	2.13705656e+00	4.02690859e+00	5.30694082e-01	3.77036386e-01
9.10000000e+00	6.80389186e-02	0.00000000e+00	1.99926516e+00	3.87484344e+00	5.15960243e-01	3.67162629e-01
9.20000000e+00	6.64729493e-02	0.00000000e+00	1.86044778e+00	3.73203957e+00	4.98506983e-01	3.57582000e-01
9.30000000e+00	6.44791984e-02	0.00000000e+00	1.72438190e+00	3.59965073e+00	4.79041448e-01	3.48320669e-01
9.40000000e+00	6.20184750e-02	0.00000000e+00	1.58933392e+00	3.47877840e+00	4.56865527e-01	3.39356891e-01
9.50000000e+00	5.94185323e-02	0.00000000e+00	1.46317726e+00	3.36649773e+00	4.34628916e-01	3.30735264e-01
