lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.5067	0.0000	28.6682	40.4043	0.7095	0.7424
7.1000	0.5414	0.0000	28.1788	39.3796	0.7156	0.7342
7.2000	0.5642	0.0000	27.6050	38.3864	0.7191	0.7270
7.3000	0.5780	0.0000	27.0347	37.3801	0.7232	0.7205
7.4000	0.5822	0.0000	26.4217	36.3013	0.7278	0.7148
7.5000	0.5752	0.0000	25.7327	35.2429	0.7302	0.7102
7.6000	0.5616	0.0000	25.0453	34.1673	0.7330	0.7062
7.7000	0.5401	0.0000	24.3169	32.9608	0.7378	0.7029
7.8000	0.5071	0.0000	23.4102	31.7601	0.7371	0.7007
7.9000	0.4691	0.0000	22.4823	30.5981	0.7348	0.6993
8.0000	0.4279	0.0000	21.5415	29.4644	0.7311	0.6983
8.1000	0.3852	0.0000	20.6010	28.3618	0.7264	0.6976
8.2000	0.3423	0.0000	19.6727	27.2936	0.7208	0.6972
8.3000	0.3000	0.0000	18.7453	26.2411	0.7144	0.6968
8.4000	0.2593	0.0000	17.8319	25.2018	0.7076	0.6963
8.5000	0.2209	0.0000	16.9298	24.1748	0.7003	0.6957
8.6000	0.1847	0.0000	16.0246	23.1488	0.6922	0.6949
8.7000	0.1522	0.0000	15.1552	22.1582	0.6840	0.6936
8.8000	0.1223	0.0000	14.2611	21.1624	0.6739	0.6920
8.9000	0.0964	0.0000	13.4136	20.2126	0.6636	0.6898
9.0000	0.0739	0.0000	12.5636	19.2825	0.6516	0.6870
9.1000	0.0551	0.0000	11.7396	18.3902	0.6384	0.6835
9.2000	0.0395	0.0000	10.9107	17.5235	0.6226	0.6794
9.3000	0.0272	0.0000	10.1024	16.7003	0.6049	0.6745
9.4000	0.0179	0.0000	9.3039	15.9192	0.5844	0.6689
9.5000	0.0115	0.0000	8.5652	15.1966	0.5636	0.6625
9.6000	0.0072	0.0000	7.7817	14.4899	0.5370	0.6554
9.7000	0.0048	0.0000	7.0327	13.8278	0.5086	0.6473
9.8000	0.0042	0.0000	6.3504	13.2358	0.4798	0.6388
9.9000	0.0045	0.0000	5.5672	12.7009	0.4383	0.6294
10.0000	0.0055	0.0000	4.8619	12.2403	0.3972	0.6194
10.1000	0.0066	0.0000	4.1676	12.3411	0.3377	0.6095
10.2000	0.0079	0.0000	3.5791	12.5003	0.2863	0.5993
10.3000	0.0090	0.0000	3.0703	12.9457	0.2372	0.5891
