lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
10.4000	0.0100	0.0000	2.6416	13.6362	0.1937	0.5787
10.5000	0.0111	0.0000	2.3839	14.9657	0.1593	0.5692
10.6000	0.0130	0.0000	2.3681	16.8966	0.1402	0.5608
10.7000	0.0163	0.0000	2.6565	19.5005	0.1362	0.5542
10.8000	0.0212	0.0000	3.1735	22.3387	0.1421	0.5490
10.9000	0.0272	0.0000	3.8370	25.1975	0.1523	0.5448
11.0000	0.0344	0.0000	4.6653	28.2465	0.1652	0.5414
11.1000	0.0415	0.0000	5.5035	30.9110	0.1780	0.5389
11.2000	0.0483	0.0000	6.3003	33.2080	0.1897	0.5364
11.3000	0.0557	0.0000	7.1053	35.4056	0.2007	0.5336
11.4000	0.0630	0.0000	7.8351	37.2569	0.2103	0.5306
11.5000	0.0698	0.0000	8.4530	38.6661	0.2186	0.5274
11.6000	0.0773	0.0000	9.0869	40.0656	0.2268	0.5241
11.7000	0.0853	0.0000	9.6930	41.3225	0.2346	0.5206
11.8000	0.0938	0.0000	10.2964	42.5208	0.2422	0.5171
11.9000	0.1032	0.0000	10.9131	43.7166	0.2496	0.5134
12.0000	0.1122	0.0000	11.4059	44.4926	0.2564	0.5098
12.1000	0.1220	0.0000	11.9200	45.2865	0.2632	0.5061
12.2000	0.1327	0.0000	12.4537	46.0970	0.2702	0.5024
12.3000	0.1435	0.0000	12.8997	46.6304	0.2766	0.4986
12.4000	0.1551	0.0000	13.3686	47.1868	0.2833	0.4949
12.5000	0.1675	0.0000	13.8592	47.7654	0.2902	0.4912
12.6000	0.1795	0.0000	14.1878	47.9073	0.2962	0.4874
12.7000	0.1921	0.0000	14.5421	48.0713	0.3025	0.4836
12.8000	0.2055	0.0000	14.9215	48.2567	0.3092	0.4799
12.9000	0.2190	0.0000	15.2264	48.2596	0.3155	0.4760
13.0000	0.2330	0.0000	15.5229	48.2146	0.3220	0.4722
13.1000	0.2473	0.0000	15.7811	48.0803	0.3282	0.4682
13.2000	0.2618	0.0000	16.0078	47.8331	0.3347	0.4642
13.3000	0.2765	0.0000	16.1775	47.4054	0.3413	0.4601
13.4000	0.2914	0.0000	16.2945	46.9219	0.3473	0.4556
13.5000	0.3067	0.0000	16.3937	46.4074	0.3533	0.4510
13.6000	0.3223	0.0000	16.4646	45.8325	0.3592	0.4462
13.7000	0.3383	0.0000	16.5413	45.2395	0.3656	0.4415
13.8000	0.3545	0.0000	16.5775	44.5387	0.3722	0.4365
13.9000	0.3710	0.0000	16.6146	43.8052	0.3793	0.4315
14.0000	0.3873	0.0000	16.5852	42.9003	0.3866	0.4261
14.1000	0.4039	0.0000	16.5460	41.9550	0.3944	0.4206
14.2000	0.4201	0.0000	16.4398	40.9073	0.4019	0.4147
14.3000	0.4363	0.0000	16.3226	39.8224	0.4099	0.4087
14.4000	0.4504	0.0000	16.0491	38.5514	0.4163	0.4019
14.5000	0.4643	0.0000	15.7820	37.2693	0.4235	0.3950
14.6000	0.4778	0.0000	15.5215	35.9780	0.4314	0.3881
14.7000	0.4910	0.0000	15.2680	34.6791	0.4403	0.3812
14.8000	0.5007	0.0000	14.9111	33.5078	0.4450	0.3740
14.9000	0.5091	0.0000	14.5487	32.3581	0.4496	0.3668
