lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.2378	0.0000	31.0405	43.6640	0.7109	0.7592
7.1000	0.2732	0.0000	30.4011	42.4292	0.7165	0.7520
7.2000	0.3024	0.0000	29.6803	41.2296	0.7199	0.7452
7.3000	0.3265	0.0000	28.9801	40.0317	0.7239	0.7386
7.4000	0.3444	0.0000	28.2509	38.7730	0.7286	0.7324
7.5000	0.3539	0.0000	27.4571	37.5536	0.7311	0.7270
7.6000	0.3572	0.0000	26.6818	36.3431	0.7342	0.7221
7.7000	0.3546	0.0000	25.8797	35.0088	0.7392	0.7177
7.8000	0.3418	0.0000	24.8990	33.6931	0.7390	0.7144
7.9000	0.3235	0.0000	23.9057	32.4327	0.7371	0.7117
8.0000	0.3011	0.0000	22.9054	31.2126	0.7339	0.7097
8.1000	0.2758	0.0000	21.9094	30.0327	0.7295	0.7080
8.2000	0.2488	0.0000	20.9281	28.8937	0.7243	0.7067
8.3000	0.2209	0.0000	19.9477	27.7733	0.7182	0.7055
8.4000	0.1931	0.0000	18.9812	26.6680	0.7118	0.7045
8.5000	0.1660	0.0000	18.0249	25.5750	0.7048	0.7034
8.6000	0.1399	0.0000	17.0629	24.4815	0.6970	0.7021
8.7000	0.1158	0.0000	16.1367	23.4241	0.6889	0.7007
8.8000	0.0932	0.0000	15.1813	22.3577	0.6790	0.6989
8.9000	0.0735	0.0000	14.2737	21.3386	0.6689	0.6966
9.0000	0.0561	0.0000	13.3615	20.3375	0.6570	0.6939
9.1000	0.0415	0.0000	12.4758	19.3749	0.6439	0.6905
9.2000	0.0293	0.0000	11.5840	18.4370	0.6283	0.6866
9.3000	0.0197	0.0000	10.7139	17.5441	0.6107	0.6819
9.4000	0.0126	0.0000	9.8546	16.6944	0.5903	0.6764
9.5000	0.0078	0.0000	9.0603	15.9081	0.5695	0.6703
9.6000	0.0047	0.0000	8.2190	15.1359	0.5430	0.6633
9.7000	0.0033	0.0000	7.4182	14.4201	0.5144	0.6555
9.8000	0.0032	0.0000	6.6877	13.7713	0.4856	0.6471
9.9000	0.0039	0.0000	5.8515	13.1753	0.4441	0.6377
10.0000	0.0053	0.0000	5.1004	12.6601	0.4029	0.6278
10.1000	0.0066	0.0000	4.3617	12.7144	0.3431	0.6178
10.2000	0.0079	0.0000	3.7372	12.8317	0.2913	0.6075
10.3000	0.0091	0.0000	3.1982	13.2390	0.2416	0.5971
