lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.00000000e+00	3.74908221e-04	0.00000000e+00	3.43910262e-03	4.78891951e-02	7.18137486e-02	3.66323862e-02
7.10000000e+00	3.53967426e-04	0.00000000e+00	3.23855851e-03	4.52984757e-02	7.14937636e-02	3.56024048e-02
7.20000000e+00	3.33974250e-04	0.00000000e+00	3.04799808e-03	4.32465920e-02	7.04794975e-02	3.46109582e-02
7.30000000e+00	3.15021006e-04	0.00000000e+00	2.86812901e-03	4.11315249e-02	6.97306754e-02	3.36582386e-02
7.40000000e+00	2.96526815e-04	0.00000000e+00	2.69351185e-03	3.89151040e-02	6.92150751e-02	3.27380576e-02
7.50000000e+00	2.78956942e-04	0.00000000e+00	2.52828694e-03	3.71366569e-02	6.80806285e-02	3.18513484e-02
7.60000000e+00	2.62441225e-04	0.00000000e+00	2.37352526e-03	3.53249726e-02	6.71911422e-02	3.09987446e-02
7.70000000e+00	2.46142414e-04	0.00000000e+00	2.22152893e-03	3.31585746e-02	6.69971179e-02	3.01723637e-02
7.80000000e+00	2.30196050e-04	0.00000000e+00	2.07346106e-03	3.17992337e-02	6.52047494e-02	2.93698045e-02
7.90000000e+00	2.15368297e-04	0.00000000e+00	1.93618105e-03	3.07114555e-02	6.30442622e-02	2.85976164e-02
8.00000000e+00	2.01531023e-04	0.00000000e+00	1.80843943e-03	2.98176272e-02	6.06500114e-02	2.78540001e-02
8.10000000e+00	1.88642961e-04	0.00000000e+00	1.68978289e-03	2.90755401e-02	5.81169907e-02	2.71379125e-02
8.20000000e+00	1.76662646e-04	0.00000000e+00	1.57976474e-03	2.84485714e-02	5.55305473e-02	2.64483563e-02
8.30000000e+00	1.65378158e-04	0.00000000e+00	1.47641928e-03	2.79099835e-02	5.28993246e-02	2.57826122e-02
8.40000000e+00	1.54764651e-04	0.00000000e+00	1.37947122e-03	2.73973286e-02	5.03505738e-02	2.51398613e-02
8.50000000e+00	1.44735865e-04	0.00000000e+00	1.28810177e-03	2.69163024e-02	4.78558220e-02	2.45185486e-02
8.60000000e+00	1.35131526e-04	0.00000000e+00	1.20084053e-03	2.64830106e-02	4.53438072e-02	2.39162337e-02
8.70000000e+00	1.26166173e-04	0.00000000e+00	1.11956413e-03	2.60688385e-02	4.29464524e-02	2.33347726e-02
8.80000000e+00	1.17393084e-04	0.00000000e+00	1.04026390e-03	2.57670445e-02	4.03718751e-02	2.27682536e-02
