lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.0073	0.0000	5.6979	9.4282	0.6043	0.6217
7.1000	0.0103	0.0000	5.4966	9.0277	0.6089	0.6104
7.2000	0.0141	0.0000	5.2909	8.6609	0.6109	0.5987
7.3000	0.0184	0.0000	5.0926	8.2955	0.6139	0.5864
7.4000	0.0233	0.0000	4.8921	7.9185	0.6178	0.5736
7.5000	0.0284	0.0000	4.6914	7.5743	0.6194	0.5606
7.6000	0.0336	0.0000	4.4999	7.2368	0.6218	0.5473
7.7000	0.0389	0.0000	4.3057	6.8685	0.6269	0.5337
7.8000	0.0438	0.0000	4.0983	6.5485	0.6258	0.5201
7.9000	0.0484	0.0000	3.8996	6.2593	0.6230	0.5067
8.0000	0.0446	0.0000	3.1234	5.2287	0.5973	0.4918
8.1000	0.0563	0.0000	3.5274	5.7495	0.6135	0.4804
8.2000	0.0597	0.0000	3.3547	5.5236	0.6073	0.4677
8.3000	0.0625	0.0000	3.1875	5.3103	0.6003	0.4553
8.4000	0.0650	0.0000	3.0267	5.1056	0.5928	0.4432
8.5000	0.0669	0.0000	2.8707	4.9084	0.5849	0.4313
8.6000	0.0683	0.0000	2.7166	4.7165	0.5760	0.4198
8.7000	0.0693	0.0000	2.5698	4.5337	0.5668	0.4087
8.8000	0.0696	0.0000	2.4204	4.3561	0.5556	0.3978
8.9000	0.0696	0.0000	2.2788	4.1875	0.5442	0.3872
9.0000	0.0690	0.0000	2.1371	4.0269	0.5307	0.3770
9.1000	0.0680	0.0000	1.9993	3.8748	0.5160	0.3672
9.2000	0.0665	0.0000	1.8604	3.7320	0.4985	0.3576
9.3000	0.0645	0.0000	1.7244	3.5997	0.4790	0.3483
9.4000	0.0620	0.0000	1.5893	3.4788	0.4569	0.3394
9.5000	0.0594	0.0000	1.4632	3.3665	0.4346	0.3307
9.6000	0.0561	0.0000	1.3294	3.2663	0.4070	0.3223
9.7000	0.0525	0.0000	1.2010	3.1768	0.3781	0.3142
9.8000	0.0489	0.0000	1.0828	3.0963	0.3497	0.3064
9.9000	0.0442	0.0000	0.9484	3.0507	0.3109	0.2987
