lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
11.2000	0.0035	0.0000	0.0331	1.3904	0.0238	0.0509
11.3000	0.0040	0.0000	0.0379	1.4849	0.0255	0.0501
11.4000	0.0045	0.0000	0.0421	1.5575	0.0270	0.0494
11.5000	0.0048	0.0000	0.0452	1.5991	0.0283	0.0488
11.6000	0.0052	0.0000	0.0484	1.6385	0.0296	0.0482
11.7000	0.0055	0.0000	0.0512	1.6668	0.0307	0.0477
11.8000	0.0058	0.0000	0.0539	1.6892	0.0319	0.0471
11.9000	0.0060	0.0000	0.0565	1.7100	0.0331	0.0466
12.0000	0.0062	0.0000	0.0579	1.7008	0.0340	0.0462
12.1000	0.0064	0.0000	0.0593	1.6910	0.0351	0.0457
12.2000	0.0065	0.0000	0.0607	1.6805	0.0361	0.0453
12.3000	0.0066	0.0000	0.0612	1.6529	0.0370	0.0450
12.4000	0.0066	0.0000	0.0618	1.6254	0.0380	0.0446
12.5000	0.0067	0.0000	0.0623	1.5980	0.0390	0.0442
12.6000	0.0066	0.0000	0.0617	1.5506	0.0398	0.0439
12.7000	0.0066	0.0000	0.0612	1.5041	0.0407	0.0436
12.8000	0.0066	0.0000	0.0607	1.4585	0.0416	0.0433
12.9000	0.0065	0.0000	0.0598	1.4087	0.0425	0.0429
13.0000	0.0064	0.0000	0.0589	1.3586	0.0434	0.0426
13.1000	0.0063	0.0000	0.0579	1.3087	0.0442	0.0422
13.2000	0.0061	0.0000	0.0566	1.2565	0.0451	0.0419
13.3000	0.0060	0.0000	0.0552	1.2006	0.0459	0.0415
13.4000	0.0058	0.0000	0.0537	1.1496	0.0467	0.0411
13.5000	0.0057	0.0000	0.0522	1.1013	0.0474	0.0407
13.6000	0.0055	0.0000	0.0508	1.0545	0.0481	0.0403
13.7000	0.0054	0.0000	0.0494	1.0088	0.0489	0.0399
13.8000	0.0052	0.0000	0.0479	0.9630	0.0498	0.0395
13.9000	0.0051	0.0000	0.0466	0.9179	0.0507	0.0391
14.0000	0.0049	0.0000	0.0451	0.8715	0.0517	0.0387
14.1000	0.0048	0.0000	0.0436	0.8263	0.0528	0.0383
14.2000	0.0046	0.0000	0.0421	0.7830	0.0537	0.0378
14.3000	0.0044	0.0000	0.0406	0.7408	0.0548	0.0374
14.4000	0.0043	0.0000	0.0389	0.7016	0.0555	0.0369
14.5000	0.0041	0.0000	0.0373	0.6630	0.0563	0.0364
14.6000	0.0039	0.0000	0.0358	0.6250	0.0573	0.0359
14.7000	0.0038	0.0000	0.0344	0.5876	0.0585	0.0354
14.8000	0.0036	0.0000	0.0330	0.5605	0.0588	0.0349
14.9000	0.0035	0.0000	0.0316	0.5348	0.0591	0.0344
