lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.0157	0.0000	0.1892	0.5844	0.3238	0.1437
7.1000	0.0150	0.0000	0.1794	0.5531	0.3243	0.1394
7.2000	0.0144	0.0000	0.1698	0.5267	0.3224	0.1352
7.3000	0.0138	0.0000	0.1607	0.5001	0.3213	0.1313
7.4000	0.0131	0.0000	0.1517	0.4726	0.3210	0.1275
7.5000	0.0125	0.0000	0.1430	0.4492	0.3184	0.1239
7.6000	0.0119	0.0000	0.1349	0.4260	0.3166	0.1204
7.7000	0.0113	0.0000	0.1268	0.3997	0.3172	0.1171
7.8000	0.0107	0.0000	0.1187	0.3804	0.3121	0.1138
7.9000	0.0101	0.0000	0.1112	0.3639	0.3055	0.1108
8.0000	0.0095	0.0000	0.1041	0.3496	0.2978	0.1078
8.1000	0.0090	0.0000	0.0975	0.3370	0.2894	0.1050
8.2000	0.0085	0.0000	0.0914	0.3258	0.2805	0.1022
8.3000	0.0080	0.0000	0.0856	0.3157	0.2712	0.0996
8.4000	0.0075	0.0000	0.0802	0.3061	0.2618	0.0971
8.5000	0.0071	0.0000	0.0750	0.2971	0.2524	0.0946
8.6000	0.0067	0.0000	0.0700	0.2886	0.2427	0.0923
8.7000	0.0063	0.0000	0.0654	0.2806	0.2331	0.0900
8.8000	0.0059	0.0000	0.0608	0.2736	0.2224	0.0878
8.9000	0.0055	0.0000	0.0566	0.2670	0.2120	0.0857
9.0000	0.0051	0.0000	0.0525	0.2615	0.2008	0.0836
9.1000	0.0048	0.0000	0.0486	0.2567	0.1894	0.0816
9.2000	0.0044	0.0000	0.0448	0.2532	0.1769	0.0797
9.3000	0.0041	0.0000	0.0411	0.2508	0.1641	0.0778
9.4000	0.0037	0.0000	0.0376	0.2498	0.1506	0.0759
9.5000	0.0034	0.0000	0.0344	0.2491	0.1380	0.0741
9.6000	0.0031	0.0000	0.0310	0.2508	0.1238	0.0724
9.7000	0.0028	0.0000	0.0279	0.2534	0.1101	0.0707
9.8000	0.0025	0.0000	0.0250	0.2561	0.0977	0.0690
9.9000	0.0022	0.0000	0.0219	0.2652	0.0825	0.0674
10.0000	0.0019	0.0000	0.0190	0.2747	0.0693	0.0658
10.1000	0.0017	0.0000	0.0164	0.3064	0.0536	0.0642
10.2000	0.0015	0.0000	0.0142	0.3379	0.0419	0.0627
10.3000	0.0013	0.0000	0.0123	0.3800	0.0323	0.0612
10.4000	0.0011	0.0000	0.0107	0.4322	0.0248	0.0597
10.5000	0.0010	0.0000	0.0099	0.5099	0.0194	0.0583
10.6000	0.0011	0.0000	0.0102	0.6115	0.0166	0.0569
10.7000	0.0012	0.0000	0.0119	0.7406	0.0160	0.0557
10.8000	0.0015	0.0000	0.0148	0.8793	0.0168	0.0545
10.9000	0.0019	0.0000	0.0186	1.0187	0.0182	0.0535
11.0000	0.0025	0.0000	0.0235	1.1679	0.0201	0.0525
11.1000	0.0030	0.0000	0.0284	1.2908	0.0220	0.0516
