lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
12.0000	0.1528	0.0000	2.3011	14.2461	0.1615	0.2111
12.1000	0.1605	0.0000	2.3933	14.3949	0.1663	0.2087
12.2000	0.1684	0.0000	2.4881	14.5417	0.1711	0.2063
12.3000	0.1745	0.0000	2.5547	14.5606	0.1755	0.2040
12.4000	0.1808	0.0000	2.6240	14.5782	0.1800	0.2017
12.5000	0.1872	0.0000	2.6954	14.5943	0.1847	0.1995
12.6000	0.1906	0.0000	2.7202	14.4285	0.1885	0.1972
12.7000	0.1942	0.0000	2.7480	14.2621	0.1927	0.1950
12.8000	0.1979	0.0000	2.7784	14.0949	0.1971	0.1928
12.9000	0.2003	0.0000	2.7889	13.8630	0.2012	0.1906
13.0000	0.2023	0.0000	2.7952	13.6121	0.2053	0.1884
13.1000	0.2037	0.0000	2.7920	13.3369	0.2093	0.1862
13.2000	0.2044	0.0000	2.7797	13.0233	0.2134	0.1839
13.3000	0.2040	0.0000	2.7529	12.6524	0.2176	0.1816
13.4000	0.2032	0.0000	2.7194	12.2925	0.2212	0.1792
13.5000	0.2021	0.0000	2.6841	11.9382	0.2248	0.1768
13.6000	0.2007	0.0000	2.6450	11.5799	0.2284	0.1744
13.7000	0.1994	0.0000	2.6074	11.2230	0.2323	0.1721
13.8000	0.1975	0.0000	2.5634	10.8473	0.2363	0.1697
13.9000	0.1956	0.0000	2.5203	10.4704	0.2407	0.1674
14.0000	0.1929	0.0000	2.4669	10.0615	0.2452	0.1650
14.1000	0.1902	0.0000	2.4137	9.6548	0.2500	0.1626
14.2000	0.1868	0.0000	2.3532	9.2465	0.2545	0.1601
14.3000	0.1834	0.0000	2.2933	8.8415	0.2594	0.1577
14.4000	0.1785	0.0000	2.2155	8.4325	0.2627	0.1551
14.5000	0.1738	0.0000	2.1411	8.0290	0.2667	0.1525
14.6000	0.1693	0.0000	2.0700	7.6307	0.2713	0.1500
14.7000	0.1649	0.0000	2.0022	7.2379	0.2766	0.1476
14.8000	0.1600	0.0000	1.9287	6.9245	0.2785	0.1451
14.9000	0.1551	0.0000	1.8573	6.6246	0.2804	0.1427
