lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.0094	0.0000	5.3930	8.9819	0.6004	0.6110
7.1000	0.0127	0.0000	5.2078	8.6063	0.6051	0.5993
7.2000	0.0166	0.0000	5.0184	8.2636	0.6073	0.5872
7.3000	0.0213	0.0000	4.8356	7.9218	0.6104	0.5746
7.4000	0.0264	0.0000	4.6504	7.5685	0.6144	0.5616
7.5000	0.0317	0.0000	4.4647	7.2464	0.6161	0.5484
7.6000	0.0371	0.0000	4.2871	6.9300	0.6186	0.5350
7.7000	0.0426	0.0000	4.1063	6.5830	0.6238	0.5213
7.8000	0.0476	0.0000	3.9127	6.2830	0.6228	0.5078
7.9000	0.0522	0.0000	3.7270	6.0118	0.6200	0.4944
8.0000	0.0564	0.0000	3.5486	5.7628	0.6158	0.4812
8.1000	0.0602	0.0000	3.3780	5.5335	0.6105	0.4684
8.2000	0.0635	0.0000	3.2155	5.3213	0.6043	0.4558
8.3000	0.0664	0.0000	3.0580	5.1208	0.5972	0.4436
8.4000	0.0687	0.0000	2.9061	4.9280	0.5897	0.4316
8.5000	0.0706	0.0000	2.7587	4.7420	0.5818	0.4200
8.6000	0.0719	0.0000	2.6127	4.5609	0.5729	0.4087
8.7000	0.0728	0.0000	2.4735	4.3880	0.5637	0.3977
8.8000	0.0728	0.0000	2.3276	4.2141	0.5523	0.3872
8.9000	0.0727	0.0000	2.1931	4.0547	0.5409	0.3769
9.0000	0.0720	0.0000	2.0584	3.9030	0.5274	0.3669
9.1000	0.0708	0.0000	1.9273	3.7593	0.5127	0.3572
9.2000	0.0691	0.0000	1.7950	3.6245	0.4952	0.3479
9.3000	0.0670	0.0000	1.6651	3.4996	0.4758	0.3388
9.4000	0.0644	0.0000	1.5361	3.3859	0.4537	0.3300
9.5000	0.0616	0.0000	1.4154	3.2803	0.4315	0.3216
9.6000	0.0581	0.0000	1.2872	3.1866	0.4039	0.3133
9.7000	0.0544	0.0000	1.1640	3.1033	0.3751	0.3053
9.8000	0.0507	0.0000	1.0505	3.0284	0.3469	0.2977
9.9000	0.0458	0.0000	0.9213	2.9886	0.3083	0.2902
10.0000	0.0412	0.0000	0.8041	2.9600	0.2716	0.2829
10.1000	0.0363	0.0000	0.6917	3.1092	0.2225	0.2763
10.2000	0.0320	0.0000	0.5956	3.2641	0.1825	0.2700
10.3000	0.0282	0.0000	0.5132	3.5043	0.1464	0.2640
10.4000	0.0249	0.0000	0.4442	3.8207	0.1163	0.2582
10.5000	0.0231	0.0000	0.4053	4.3361	0.0935	0.2531
10.6000	0.0237	0.0000	0.4090	5.0370	0.0812	0.2486
10.7000	0.0275	0.0000	0.4686	5.9508	0.0788	0.2450
10.8000	0.0339	0.0000	0.5727	6.9410	0.0825	0.2418
10.9000	0.0423	0.0000	0.7080	7.9422	0.0891	0.2389
11.0000	0.0532	0.0000	0.8817	9.0195	0.0977	0.2364
11.1000	0.0644	0.0000	1.0598	9.9491	0.1065	0.2340
11.2000	0.0755	0.0000	1.2310	10.7416	0.1146	0.2316
11.3000	0.0871	0.0000	1.4073	11.5061	0.1223	0.2291
11.4000	0.0980	0.0000	1.5671	12.1376	0.1291	0.2266
11.5000	0.1073	0.0000	1.6981	12.5841	0.1349	0.2239
11.6000	0.1170	0.0000	1.8331	13.0255	0.1407	0.2213
11.7000	0.1264	0.0000	1.9597	13.4031	0.1462	0.2187
11.8000	0.1357	0.0000	2.0845	13.7516	0.1516	0.2161
11.9000	0.1454	0.0000	2.2118	14.0956	0.1569	0.2136
