lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.00000000e+00	1.54849445e-02	0.00000000e+00	1.93589135e-01	5.94770152e-01	3.25485626e-01	1.49100390e-01
7.10000000e+00	1.48697334e-02	0.00000000e+00	1.83437871e-01	5.62763548e-01	3.25959049e-01	1.44652440e-01
7.20000000e+00	1.42500390e-02	0.00000000e+00	1.73593330e-01	5.35709874e-01	3.24043550e-01	1.40410663e-01
7.30000000e+00	1.36408603e-02	0.00000000e+00	1.64195728e-01	5.08461336e-01	3.22926673e-01	1.36348979e-01
7.40000000e+00	1.30196793e-02	0.00000000e+00	1.54938855e-01	4.80387172e-01	3.22529128e-01	1.32440590e-01
7.50000000e+00	1.24064256e-02	0.00000000e+00	1.46049147e-01	4.56482015e-01	3.19945018e-01	1.28703324e-01
7.60000000e+00	1.18148046e-02	0.00000000e+00	1.37655802e-01	4.32729090e-01	3.18110813e-01	1.25120818e-01
7.70000000e+00	1.12103449e-02	0.00000000e+00	1.29323869e-01	4.05873932e-01	3.18630637e-01	1.21653219e-01
7.80000000e+00	1.05936257e-02	0.00000000e+00	1.21059536e-01	3.86162247e-01	3.13493970e-01	1.18322493e-01
7.90000000e+00	1.00080907e-02	0.00000000e+00	1.13343256e-01	3.69349667e-01	3.06872501e-01	1.15133200e-01
8.00000000e+00	9.45099956e-03	0.00000000e+00	1.06118487e-01	3.54694498e-01	2.99182784e-01	1.12074023e-01
8.10000000e+00	8.92312404e-03	0.00000000e+00	9.93724828e-02	3.41811611e-01	2.90722958e-01	1.09137826e-01
8.20000000e+00	8.42485218e-03	0.00000000e+00	9.30901896e-02	3.30364337e-01	2.81780383e-01	1.06318137e-01
8.30000000e+00	7.94770137e-03	0.00000000e+00	8.71599969e-02	3.20007059e-01	2.72368982e-01	1.03603020e-01
8.40000000e+00	7.49227096e-03	0.00000000e+00	8.15747480e-02	3.10189377e-01	2.62983693e-01	1.00986748e-01
8.50000000e+00	7.05557429e-03	0.00000000e+00	7.62895131e-02	3.00918078e-01	2.53522532e-01	9.84627378e-02
8.60000000e+00	6.63062156e-03	0.00000000e+00	7.12179445e-02	2.92246642e-01	2.43691233e-01	9.60215773e-02
8.70000000e+00	6.22949377e-03	0.00000000e+00	6.64821019e-02	2.84052510e-01	2.34048633e-01	9.36681649e-02
8.80000000e+00	5.83003818e-03	0.00000000e+00	6.18350463e-02	2.76888756e-01	2.23320901e-01	9.13824202e-02
8.90000000e+00	5.45492165e-03	0.00000000e+00	5.75130524e-02	2.70127339e-01	2.12910891e-01	8.91775230e-02
9.00000000e+00	5.08673518e-03	0.00000000e+00	5.33235591e-02	2.64461769e-01	2.01630502e-01	8.70370967e-02
9.10000000e+00	4.73366843e-03	0.00000000e+00	4.93477972e-02	2.59540780e-01	1.90135043e-01	8.49640350e-02
9.20000000e+00	4.38478228e-03	0.00000000e+00	4.54657130e-02	2.55959853e-01	1.77628298e-01	8.29463215e-02
9.30000000e+00	4.04775065e-03	0.00000000e+00	4.17534824e-02	2.53475025e-01	1.64724246e-01	8.09870202e-02
9.40000000e+00	3.71842775e-03	0.00000000e+00	3.81637622e-02	2.52407128e-01	1.51199226e-01	7.90794774e-02
9.50000000e+00	3.41276139e-03	0.00000000e+00	3.48568644e-02	2.51585776e-01	1.38548629e-01	7.72352706e-02
9.60000000e+00	3.09524524e-03	0.00000000e+00	3.14640673e-02	2.53203377e-01	1.24264011e-01	7.54181652e-02
9.70000000e+00	2.79298686e-03	0.00000000e+00	2.82611441e-02	2.55728040e-01	1.10512497e-01	7.36503447e-02
9.80000000e+00	2.51562144e-03	0.00000000e+00	2.53417285e-02	2.58441019e-01	9.80561392e-02	7.19400744e-02
9.90000000e+00	2.20757602e-03	0.00000000e+00	2.21408179e-02	2.67498538e-01	8.27698651e-02	7.02228104e-02
1.00000000e+01	1.92861482e-03	0.00000000e+00	1.92608024e-02	2.76943504e-01	6.95477675e-02	6.85590813e-02
1.01000000e+01	1.66940766e-03	0.00000000e+00	1.66033953e-02	3.08806944e-01	5.37662628e-02	6.69289587e-02
1.02000000e+01	1.44642169e-03	0.00000000e+00	1.43282598e-02	3.40423833e-01	4.20894733e-02	6.53493213e-02
1.03000000e+01	1.25703327e-03	0.00000000e+00	1.24039058e-02	3.82629537e-01	3.24175334e-02	6.38054224e-02
1.04000000e+01	1.10023688e-03	0.00000000e+00	1.08154941e-02	4.34935156e-01	2.48669117e-02	6.22818775e-02
1.05000000e+01	1.02023731e-03	0.00000000e+00	9.99229569e-03	5.12911759e-01	1.94815103e-02	6.08000400e-02
1.06000000e+01	1.05001474e-03	0.00000000e+00	1.02479432e-02	6.14828411e-01	1.66679727e-02	5.93871331e-02
1.07000000e+01	1.23076405e-03	0.00000000e+00	1.19726169e-02	7.44438139e-01	1.60827559e-02	5.80760863e-02
1.08000000e+01	1.53725539e-03	0.00000000e+00	1.49082216e-02	8.83874408e-01	1.68669004e-02	5.68730252e-02
1.09000000e+01	1.93840994e-03	0.00000000e+00	1.87443165e-02	1.02435840e+00	1.82985920e-02	5.57645657e-02
1.10000000e+01	2.46083671e-03	0.00000000e+00	2.37308855e-02	1.17512925e+00	2.01942770e-02	5.47314267e-02
1.11000000e+01	2.99245920e-03	0.00000000e+00	2.87862479e-02	1.29990790e+00	2.21448364e-02	5.38465275e-02
1.12000000e+01	3.49707114e-03	0.00000000e+00	3.35627131e-02	1.40152731e+00	2.39472415e-02	5.30423590e-02
1.13000000e+01	4.01803194e-03	0.00000000e+00	3.84754352e-02	1.49812001e+00	2.56824786e-02	5.22556250e-02
1.14000000e+01	4.47723846e-03	0.00000000e+00	4.27809629e-02	1.57251257e+00	2.72054822e-02	5.15222034e-02
1.15000000e+01	4.82545861e-03	0.00000000e+00	4.60181422e-02	1.61546021e+00	2.84860883e-02	5.08720913e-02
1.16000000e+01	5.17915733e-03	0.00000000e+00	4.92976410e-02	1.65619099e+00	2.97656739e-02	5.02414483e-02
1.17000000e+01	5.49405767e-03	0.00000000e+00	5.22012603e-02	1.68535866e+00	3.09733836e-02	4.96506492e-02
1.18000000e+01	5.79262287e-03	0.00000000e+00	5.49437496e-02	1.70857106e+00	3.21577200e-02	4.90887362e-02
1.19000000e+01	6.09105881e-03	0.00000000e+00	5.76788960e-02	1.72988289e+00	3.33426594e-02	4.85462578e-02
1.20000000e+01	6.24752690e-03	0.00000000e+00	5.90734431e-02	1.72065159e+00	3.43320190e-02	4.80807096e-02
1.21000000e+01	6.40617403e-03	0.00000000e+00	6.04880269e-02	1.71056438e+00	3.53614441e-02	4.76355229e-02
1.22000000e+01	6.56561592e-03	0.00000000e+00	6.19096112e-02	1.69966855e+00	3.64245201e-02	4.72098431e-02
1.23000000e+01	6.62995698e-03	0.00000000e+00	6.24376465e-02	1.67140037e+00	3.73564871e-02	4.68189877e-02
1.24000000e+01	6.69806666e-03	0.00000000e+00	6.30030523e-02	1.64312543e+00	3.83434223e-02	4.64459316e-02
1.25000000e+01	6.76883308e-03	0.00000000e+00	6.35951954e-02	1.61488269e+00	3.93806904e-02	4.60899043e-02
1.26000000e+01	6.70502755e-03	0.00000000e+00	6.29253337e-02	1.56631396e+00	4.01741511e-02	4.57397189e-02
1.27000000e+01	6.65096676e-03	0.00000000e+00	6.23508370e-02	1.51872309e+00	4.10547766e-02	4.54032867e-02
1.28000000e+01	6.60550628e-03	0.00000000e+00	6.18605038e-02	1.47211522e+00	4.20215096e-02	4.50800069e-02
1.29000000e+01	6.51441116e-03	0.00000000e+00	6.09431594e-02	1.42124486e+00	4.28801266e-02	4.47406392e-02
1.30000000e+01	6.41726155e-03	0.00000000e+00	5.99719638e-02	1.37014994e+00	4.37703656e-02	4.44023976e-02
1.31000000e+01	6.30495075e-03	0.00000000e+00	5.88601952e-02	1.31924620e+00	4.46165358e-02	4.40501538e-02
1.32000000e+01	6.17548017e-03	0.00000000e+00	5.75909429e-02	1.26618252e+00	4.54839190e-02	4.36946121e-02
1.33000000e+01	6.01814569e-03	0.00000000e+00	5.60640757e-02	1.20940787e+00	4.63566321e-02	4.33279973e-02
1.34000000e+01	5.85931820e-03	0.00000000e+00	5.45232845e-02	1.15766535e+00	4.70976215e-02	4.29283722e-02
1.35000000e+01	5.70547036e-03	0.00000000e+00	5.30315866e-02	1.10866588e+00	4.78336960e-02	4.25195094e-02
1.36000000e+01	5.55095791e-03	0.00000000e+00	5.15363929e-02	1.06129239e+00	4.85600326e-02	4.21007620e-02
1.37000000e+01	5.40510773e-03	0.00000000e+00	5.01258610e-02	1.01504382e+00	4.93829526e-02	4.16880139e-02
1.38000000e+01	5.25176273e-03	0.00000000e+00	4.86483371e-02	9.68672094e-01	5.02216771e-02	4.12647697e-02
1.39000000e+01	5.10523403e-03	0.00000000e+00	4.72379426e-02	9.23077097e-01	5.11744282e-02	4.08461120e-02
1.40000000e+01	4.94337360e-03	0.00000000e+00	4.56874958e-02	8.76250761e-01	5.21397503e-02	4.04083039e-02
1.41000000e+01	4.78753823e-03	0.00000000e+00	4.41964105e-02	8.30669316e-01	5.32057820e-02	3.99699784e-02
1.42000000e+01	4.62488340e-03	0.00000000e+00	4.26440598e-02	7.87029495e-01	5.41835599e-02	3.95084965e-02
1.43000000e+01	4.46808011e-03	0.00000000e+00	4.11494966e-02	7.44496798e-01	5.52715563e-02	3.90473472e-02
1.44000000e+01	4.28664439e-03	0.00000000e+00	3.94275519e-02	7.05009914e-01	5.59248191e-02	3.85299944e-02
1.45000000e+01	4.11519625e-03	0.00000000e+00	3.78026261e-02	6.66167170e-01	5.67464563e-02	3.80215674e-02
1.46000000e+01	3.95321281e-03	0.00000000e+00	3.62694263e-02	6.27952449e-01	5.77582368e-02	3.75218346e-02
1.47000000e+01	3.80019806e-03	0.00000000e+00	3.48229478e-02	5.90350070e-01	5.89869461e-02	3.70305728e-02
1.48000000e+01	3.64672248e-03	0.00000000e+00	3.33734255e-02	5.63110857e-01	5.92661730e-02	3.65028023e-02
1.49000000e+01	3.49942216e-03	0.00000000e+00	3.19845410e-02	5.37338709e-01	5.95239846e-02	3.59803391e-02
